round,t_s,evader,chaser,safe_x,safe_y,dist_evader_to_safe,path_remaining_evader,dist_chaser_to_evader,path_remaining_chaser,goal_active_evader,goal_active_chaser,outcome,winner,robot1_score,robot2_score,tags_robot1,tags_robot2,safes_robot1,safes_robot2
1,28.39,robot2,robot1,4.000,1.000,0.868,1.152,2.526,3.288,0,0,safe_zone,robot2,0,1,0,0,0,1
1,4.26,robot1,robot2,-3.500,3.700,3.928,4.318,0.790,1.258,1,0,tag,robot2,0,1,0,1,0,0
2,5.64,robot2,robot1,4.000,-1.000,6.459,9.931,0.927,2.380,1,0,tag,robot1,1,1,1,1,0,0
3,3.60,robot1,robot2,-3.500,3.700,3.971,4.523,0.857,2.480,1,1,tag,robot2,1,2,1,2,0,0
1,9.96,robot2,robot1,-3.500,3.700,0.826,1.040,2.321,2.992,1,0,safe_zone,robot2,0,1,0,0,0,1
1,28.92,robot2,robot1,4.000,-1.000,0.976,0.954,3.269,2.882,1,0,safe_zone,robot2,0,1,0,0,0,1
2,39.44,robot1,robot2,4.000,1.000,0.888,1.021,3.233,3.263,1,0,safe_zone,robot1,1,1,0,0,1,1
1,3.65,robot2,robot1,-3.500,-3.700,4.090,4.581,0.855,1.891,0,0,tag,robot1,1,0,1,0,0,0
1,6.35,robot1,robot2,-3.500,3.700,3.777,4.320,0.955,2.054,1,0,tag,robot2,0,1,0,1,0,0
1,28.00,robot2,robot1,4.000,1.000,0.865,0.854,2.632,3.187,1,0,safe_zone,robot2,0,1,0,0,0,1
1,25.31,robot1,robot2,4.000,-1.000,0.930,1.104,3.406,3.334,1,0,safe_zone,robot1,1,0,0,0,1,0
1,4.53,robot2,robot1,-3.500,-3.700,3.972,4.376,0.940,2.612,1,0,tag,robot1,1,0,1,0,0,0
1,27.83,robot2,robot1,4.000,1.000,0.892,0.931,2.704,3.358,0,0,safe_zone,robot2,0,1,0,0,0,1
2,10.83,robot1,robot2,-3.500,-3.700,0.966,1.046,3.172,3.022,1,0,safe_zone,robot1,1,1,0,0,1,1
3,5.56,robot2,robot1,-3.500,-3.700,3.938,4.490,0.949,2.223,1,0,tag,robot1,2,1,1,0,1,1
4,37.58,robot1,robot2,4.000,-1.000,0.898,0.976,2.766,3.340,1,0,safe_zone,robot1,3,1,1,0,2,1
5,19.78,robot2,robot1,-3.500,-3.700,0.940,0.978,1.719,1.634,1,0,safe_zone,robot2,3,2,1,0,2,2
6,40.69,robot1,robot2,4.000,1.000,0.847,1.021,3.173,2.737,1,0,safe_zone,robot1,4,2,1,0,3,2
7,43.53,robot2,robot1,4.000,1.000,0.861,0.883,2.720,3.590,1,0,safe_zone,robot2,4,3,1,0,3,3
8,35.08,robot1,robot2,4.000,-1.000,0.998,1.021,2.937,3.517,1,0,safe_zone,robot1,5,3,1,0,4,3
9,47.44,robot2,robot1,4.000,-1.000,0.944,0.982,2.896,2.390,1,0,safe_zone,robot2,5,4,1,0,4,4
10,6.09,robot1,robot2,-3.500,3.700,4.217,5.173,0.978,2.655,1,1,tag,robot2,5,5,1,1,4,4
11,5.51,robot2,robot1,-3.500,-3.700,3.817,4.234,0.808,2.106,1,0,tag,robot1,6,5,2,1,4,4
12,13.96,robot1,robot2,-3.500,-3.700,0.968,1.046,2.448,2.980,1,0,safe_zone,robot1,7,5,2,1,5,4
13,11.83,robot2,robot1,-3.500,3.700,0.898,1.041,2.646,2.571,1,0,safe_zone,robot2,7,6,2,1,5,5
14,5.96,robot1,robot2,-3.500,3.700,3.802,4.689,0.838,2.159,1,0,tag,robot2,7,7,2,2,5,5
15,6.29,robot2,robot1,4.000,-1.000,6.318,10.356,0.948,1.202,1,0,tag,robot1,8,7,3,2,5,5
16,9.59,robot1,robot2,-3.500,-3.700,0.874,0.959,2.276,2.763,1,0,safe_zone,robot1,9,7,3,2,6,5
17,8.36,robot2,robot1,-3.500,-3.700,3.537,5.671,0.999,1.860,1,0,tag,robot1,10,7,4,2,6,5
18,6.06,robot1,robot2,4.000,1.000,5.732,10.197,0.874,2.721,1,0,tag,robot2,10,8,4,3,6,5
19,36.96,robot2,robot1,4.000,1.000,0.877,0.835,2.765,3.295,1,0,safe_zone,robot2,10,9,4,3,6,6
20,12.45,robot1,robot2,-3.500,-3.700,0.962,0.939,2.465,2.876,1,0,safe_zone,robot1,11,9,4,3,7,6
21,9.19,robot2,robot1,-3.500,3.700,0.959,1.291,2.574,2.454,1,0,safe_zone,robot2,11,10,4,3,7,7
22,34.84,robot1,robot2,4.000,-1.000,0.855,0.816,3.049,3.939,1,0,safe_zone,robot1,12,10,4,3,8,7
23,37.61,robot2,robot1,4.000,-1.000,0.959,1.180,3.190,2.843,1,0,safe_zone,robot2,12,11,4,3,8,8
24,11.44,robot1,robot2,-3.500,-3.700,0.884,0.890,2.374,2.247,1,0,safe_zone,robot1,13,11,4,3,9,8
25,12.90,robot2,robot1,-3.500,3.700,0.925,1.040,2.539,2.378,1,0,safe_zone,robot2,13,12,4,3,9,9
26,4.61,robot1,robot2,-3.500,3.700,3.981,6.388,0.915,1.641,1,0,tag,robot2,13,13,4,4,9,9
27,12.14,robot2,robot1,-3.500,3.700,0.963,1.128,2.329,2.452,1,0,safe_zone,robot2,13,14,4,4,9,10
1,30.31,robot2,robot1,4.000,-1.000,0.865,1.052,2.913,2.628,0,0,safe_zone,robot2,0,1,0,0,0,1
1,31.48,robot2,robot1,4.000,-1.000,0.904,1.025,2.965,2.703,1,0,safe_zone,robot2,0,1,0,0,0,1
2,13.15,robot1,robot2,-3.500,-3.700,0.908,1.154,2.456,2.019,1,0,safe_zone,robot1,1,1,0,0,1,1
1,3.86,robot1,robot2,-3.500,3.700,4.115,4.674,0.833,1.682,0,0,tag,robot2,0,1,0,1,0,0
1,3.64,robot2,robot1,-3.500,-3.700,4.096,4.582,0.932,1.566,0,1,tag,robot1,1,0,1,0,0,0
2,3.85,robot1,robot2,4.000,1.000,6.552,10.225,0.882,2.218,1,0,tag,robot2,1,1,1,1,0,0
1,39.10,robot2,robot1,4.000,-1.000,0.953,1.001,2.784,2.355,1,0,safe_zone,robot2,0,1,0,0,0,1
1,4.08,robot2,robot1,-3.500,-3.700,4.040,4.629,0.838,2.683,0,0,tag,robot1,1,0,1,0,0,0
2,38.47,robot1,robot2,4.000,-1.000,0.997,1.085,2.848,3.259,1,0,safe_zone,robot1,2,0,1,0,1,0
3,35.20,robot2,robot1,4.000,-1.000,0.925,1.025,3.396,3.175,1,0,safe_zone,robot2,2,1,1,0,1,1
4,36.84,robot1,robot2,4.000,-1.000,0.968,1.151,3.014,2.833,1,0,safe_zone,robot1,3,1,1,0,2,1
5,42.09,robot2,robot1,4.000,-1.000,0.945,0.916,2.944,2.674,1,0,safe_zone,robot2,3,2,1,0,2,2
6,32.32,robot1,robot2,4.000,-1.000,0.978,1.085,2.607,4.942,1,0,safe_zone,robot1,4,2,1,0,3,2
7,41.54,robot2,robot1,4.000,-1.000,0.999,1.071,3.520,3.420,1,0,safe_zone,robot2,4,3,1,0,3,3
8,36.62,robot1,robot2,4.000,-1.000,0.983,1.178,2.880,3.319,1,0,safe_zone,robot1,5,3,1,0,4,3
9,37.11,robot2,robot1,4.000,-1.000,0.992,1.025,3.187,3.119,1,0,safe_zone,robot2,5,4,1,0,4,4
10,41.67,robot1,robot2,4.000,1.000,0.954,1.092,3.032,2.800,1,0,safe_zone,robot1,6,4,1,0,5,4
11,6.31,robot2,robot1,4.000,-1.000,6.316,10.174,0.880,1.688,1,0,tag,robot1,7,4,2,0,5,4
12,7.26,robot1,robot2,4.000,1.000,5.840,9.639,0.946,1.071,1,0,tag,robot2,7,5,2,1,5,4
13,13.23,robot2,robot1,-3.500,3.700,0.926,1.151,2.556,2.862,1,0,safe_zone,robot2,7,6,2,1,5,5
14,9.06,robot1,robot2,4.000,-1.000,6.174,10.503,0.970,2.413,1,0,tag,robot2,7,7,2,2,5,5
15,40.51,robot2,robot1,4.000,-1.000,0.894,1.025,2.971,2.490,1,0,safe_zone,robot2,7,8,2,2,5,6
16,12.93,robot1,robot2,-3.500,-3.700,0.951,1.093,2.746,2.999,1,0,safe_zone,robot1,8,8,2,2,6,6
17,37.87,robot2,robot1,4.000,1.000,0.991,1.216,2.663,3.386,1,0,safe_zone,robot2,8,9,2,2,6,7
18,42.05,robot1,robot2,4.000,1.000,0.865,0.900,3.029,3.480,1,0,safe_zone,robot1,9,9,2,2,7,7
19,39.37,robot2,robot1,4.000,-1.000,0.846,0.872,2.858,2.511,1,0,safe_zone,robot2,9,10,2,2,7,8
20,6.05,robot1,robot2,-3.500,3.700,3.986,6.332,0.947,2.871,1,0,tag,robot2,9,11,2,3,7,8
21,12.36,robot2,robot1,-3.500,3.700,0.869,0.843,2.258,2.488,1,0,safe_zone,robot2,9,12,2,3,7,9
22,40.21,robot1,robot2,4.000,-1.000,0.868,0.928,3.098,3.354,1,0,safe_zone,robot1,10,12,2,3,8,9
