t_s,evader,chaser,safe_x,safe_y,dist_evader_to_safe,path_remaining_evader,dist_chaser_to_evader,path_remaining_chaser,goal_active_evader,goal_active_chaser,event,winner,score_robot1,score_robot2,tags_robot1,tags_robot2,safes_robot1,safes_robot2
0.96,robot1,robot2,4.000,-1.000,6.961,9.680,1.580,0.246,1,0,,,1,0,1,0,0,0
3.29,robot1,robot2,4.000,-1.000,6.551,9.212,1.871,1.724,1,1,,,1,0,1,0,0,0
5.60,robot1,robot2,4.000,-1.000,6.141,8.788,1.934,1.657,1,0,,,1,0,1,0,0,0
7.77,robot1,robot2,4.000,-1.000,5.744,8.393,1.920,2.110,1,0,,,1,0,1,0,0,0
9.90,robot1,robot2,4.000,-1.000,5.361,7.968,2.079,2.268,1,0,,,1,0,1,0,0,0
11.84,robot1,robot2,4.000,-1.000,5.145,7.589,2.256,1.856,1,0,,,1,0,1,0,0,0
13.84,robot1,robot2,4.000,-1.000,5.111,7.053,2.327,2.044,1,0,,,1,0,1,0,0,0
16.06,robot1,robot2,4.000,-1.000,5.141,6.436,2.248,2.459,1,0,,,1,0,1,0,0,0
18.08,robot1,robot2,4.000,-1.000,5.103,5.915,2.241,2.385,1,0,,,1,0,1,0,0,0
19.97,robot1,robot2,4.000,-1.000,4.903,5.518,2.114,2.177,1,0,,,1,0,1,0,0,0
21.92,robot1,robot2,4.000,-1.000,4.629,5.247,1.899,2.003,1,0,,,1,0,1,0,0,0
24.08,robot1,robot2,4.000,-1.000,4.234,4.796,1.657,2.224,1,0,,,1,0,1,0,0,0
25.94,robot1,robot2,4.000,-1.000,3.821,4.197,1.352,2.159,1,0,,,1,0,1,0,0,0
27.94,robot1,robot2,4.000,-1.000,3.483,3.665,1.550,2.026,1,0,,,1,0,1,0,0,0
30.01,robot1,robot2,4.000,-1.000,3.068,3.167,2.035,2.144,1,0,,,1,0,1,0,0,0
32.00,robot1,robot2,4.000,-1.000,2.595,2.628,2.434,2.259,1,0,,,1,0,1,0,0,0
33.94,robot1,robot2,4.000,-1.000,2.020,2.085,2.701,3.397,1,0,,,1,0,1,0,0,0
36.01,robot1,robot2,4.000,-1.000,1.587,1.610,2.735,3.414,1,0,,,1,0,1,0,0,0
38.09,robot1,robot2,4.000,-1.000,1.097,1.085,2.829,3.259,1,0,,,1,0,1,0,0,0
38.47,robot1,robot2,4.000,-1.000,0.997,1.085,2.848,3.259,1,0,safe_zone,robot1,2,0,1,0,1,0
